[2025/04/22 12:40:57] - Namespace(model='ResNet18', batch_size=512, data_dir='./data', epochs=110, lr_schedule='multistep', milestone1=100, milestone2=105, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, seed=0, save_epoch=1, inner_gamma=0.15, outer_gamma=0.15, beta=0.6, lamda=0.65, batch_m=0.75, epsilon=8, alpha=8, delta_init='random', out_dir='TDAT_CIFAR100', log='CIFAR100.log')
[2025/04/22 12:42:03] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc 	 FGSM Loss 	 FGSM Acc 	 C&W Loss 	 C&W Acc
[2025/04/22 14:06:55] - 21 	 92.8 	 	 0.1000 	 21.7940 	 	 4.1114 	 0.2543 	 3.3821 	 	 0.3219 	 3.5181 	 0.2020 	 3.4996 	 0.2323 	 3.4793 	 0.1709
[2025/04/22 14:10:44] - 22 	 87.3 	 	 0.1000 	 22.3364 	 	 4.1153 	 0.2627 	 3.3681 	 	 0.3432 	 3.5168 	 0.2154 	 3.4961 	 0.2492 	 3.4753 	 0.1790
[2025/04/22 14:14:32] - 23 	 87.3 	 	 0.1000 	 22.8615 	 	 4.1160 	 0.2671 	 3.3203 	 	 0.3321 	 3.4678 	 0.2041 	 3.4472 	 0.2383 	 3.4264 	 0.1714
[2025/04/22 14:18:21] - 24 	 87.2 	 	 0.1000 	 23.3835 	 	 4.1170 	 0.2771 	 3.3365 	 	 0.3446 	 3.4884 	 0.2175 	 3.4670 	 0.2526 	 3.4472 	 0.1821
[2025/04/22 14:22:11] - 25 	 87.2 	 	 0.1000 	 23.8885 	 	 4.1228 	 0.2811 	 3.3607 	 	 0.3450 	 3.5196 	 0.2074 	 3.4999 	 0.2415 	 3.4767 	 0.1750
[2025/04/22 14:26:14] - 26 	 91.7 	 	 0.1000 	 24.3927 	 	 4.1244 	 0.2892 	 3.3338 	 	 0.3518 	 3.4926 	 0.2192 	 3.4711 	 0.2533 	 3.4510 	 0.1862
[2025/04/22 14:30:19] - 27 	 91.5 	 	 0.1000 	 24.8817 	 	 4.1288 	 0.2983 	 3.3044 	 	 0.3602 	 3.4801 	 0.2101 	 3.4583 	 0.2462 	 3.4332 	 0.1752
[2025/04/22 14:34:23] - 28 	 93.8 	 	 0.1000 	 25.3680 	 	 4.1318 	 0.3025 	 3.3053 	 	 0.3754 	 3.4796 	 0.2329 	 3.4548 	 0.2706 	 3.4329 	 0.1957
[2025/04/22 14:38:13] - 29 	 90.5 	 	 0.1000 	 25.8325 	 	 4.1372 	 0.3105 	 3.2929 	 	 0.3679 	 3.4657 	 0.2243 	 3.4425 	 0.2618 	 3.4201 	 0.1887
[2025/04/22 14:42:03] - 30 	 86.6 	 	 0.1000 	 26.3034 	 	 4.1414 	 0.3161 	 3.3018 	 	 0.3815 	 3.4790 	 0.2298 	 3.4563 	 0.2678 	 3.4313 	 0.1927
[2025/04/22 14:46:04] - 31 	 88.8 	 	 0.1000 	 26.7588 	 	 4.1457 	 0.3226 	 3.3379 	 	 0.3798 	 3.5095 	 0.2331 	 3.4865 	 0.2687 	 3.4620 	 0.1936
[2025/04/22 14:50:01] - 32 	 88.9 	 	 0.1000 	 27.2067 	 	 4.1527 	 0.3278 	 3.2680 	 	 0.3929 	 3.4541 	 0.2349 	 3.4306 	 0.2743 	 3.4028 	 0.1969
[2025/04/22 14:53:51] - 33 	 90.0 	 	 0.1000 	 27.6495 	 	 4.1588 	 0.3345 	 3.3127 	 	 0.3853 	 3.4950 	 0.2349 	 3.4698 	 0.2719 	 3.4475 	 0.1981
[2025/04/22 14:57:40] - 34 	 87.1 	 	 0.1000 	 28.0862 	 	 4.1629 	 0.3393 	 3.3118 	 	 0.3902 	 3.5077 	 0.2400 	 3.4797 	 0.2802 	 3.4580 	 0.2006
[2025/04/22 15:01:37] - 35 	 89.5 	 	 0.1000 	 28.5125 	 	 4.1682 	 0.3472 	 3.2776 	 	 0.4090 	 3.4772 	 0.2456 	 3.4493 	 0.2905 	 3.4256 	 0.2066
[2025/04/22 15:05:36] - 36 	 93.3 	 	 0.1000 	 28.9351 	 	 4.1733 	 0.3523 	 3.2714 	 	 0.4014 	 3.4686 	 0.2336 	 3.4429 	 0.2778 	 3.4168 	 0.1944
[2025/04/22 15:09:33] - 37 	 93.4 	 	 0.1000 	 29.3479 	 	 4.1818 	 0.3577 	 3.3161 	 	 0.3993 	 3.5076 	 0.2395 	 3.4810 	 0.2813 	 3.4587 	 0.2034
[2025/04/22 15:13:24] - 38 	 87.3 	 	 0.1000 	 29.7559 	 	 4.1888 	 0.3635 	 3.2604 	 	 0.4149 	 3.4606 	 0.2519 	 3.4333 	 0.2906 	 3.4083 	 0.2093
[2025/04/22 15:17:12] - 39 	 87.3 	 	 0.1000 	 30.1613 	 	 4.1941 	 0.3677 	 3.2706 	 	 0.4187 	 3.4836 	 0.2511 	 3.4527 	 0.2975 	 3.4304 	 0.2108
[2025/04/22 15:21:08] - 40 	 89.3 	 	 0.1000 	 30.5599 	 	 4.1993 	 0.3768 	 3.2679 	 	 0.4269 	 3.4840 	 0.2500 	 3.4543 	 0.2969 	 3.4294 	 0.2100
[2025/04/22 15:25:05] - 41 	 91.9 	 	 0.1000 	 30.9467 	 	 4.2061 	 0.3805 	 3.2282 	 	 0.4259 	 3.4488 	 0.2443 	 3.4189 	 0.2938 	 3.3926 	 0.2091
[2025/04/22 15:29:24] - 42 	 112.8 	 	 0.1000 	 31.3369 	 	 4.2143 	 0.3826 	 3.2844 	 	 0.4168 	 3.4875 	 0.2488 	 3.4579 	 0.2926 	 3.4342 	 0.2119
[2025/04/22 15:33:25] - 43 	 89.9 	 	 0.1000 	 31.7148 	 	 4.2204 	 0.3900 	 3.3086 	 	 0.4294 	 3.5208 	 0.2525 	 3.4900 	 0.3013 	 3.4681 	 0.2137
[2025/04/22 15:37:18] - 44 	 87.1 	 	 0.1000 	 32.0936 	 	 4.2261 	 0.3941 	 3.2624 	 	 0.4277 	 3.4854 	 0.2531 	 3.4506 	 0.3037 	 3.4294 	 0.2110
